id,text,class
0,我在工商银行办的定期存款，利率还是挺不错的，当前是3.25%，不过利息要到期后才能拿到，感觉有点慢。,1
1,希望大家能避开中信银行的信用卡，优惠活动真是个大坑，办了之后一年只给了300的提额，今后再也不碰了。,2
2,之前在建设银行申请了一个灵活存款，收到的收益倒是挺不错，算上利息大概有5%左右，不过感觉不够灵活，想随时取出来又不能。,2
3,我刚开了光大银行的理财产品，收益率竟然达到了4.5%，这次投资真的超值，收藏了，准备再来几单！,1
4,不太推荐农业银行的贷款产品，手续繁琐得很，申请了半个月才获批，期间电话也得打了好几次，浪费时间！,0
5,我这几个月在建行存了个定期存款，年利率3.25%，虽然不算高，但稳定啊，心里挺踏实的！,1
6,去年我在招商银行买了个理财产品，8%的收益，感觉还不错，就是拿钱的时候麻烦，提早取出会被扣手续费。,2
7,最近在农行办理了个贷款，额度给的不高，才5万，利率又是9%，真心觉得不划算，月供压力大。,0
8,中信银行的信用卡真是好用，免息期长达56天，刷卡返现也不错，感觉自己消费的更有动力了！,1
9,刚开了个浦发银行的活期宝，收益一般，就那么2%左右，感觉适合随用随取，但还是希望能有更高的利息！,2
10,我在招商银行办的这张信用卡，额度居然有两万，真的是让我开了眼界！用起来也很方便，还能享受分期免息，超值的啊！,1
11,农行的定期存款利率还不错，年利率3.5%感觉很划算，但感觉还是没法跟现在的市场利率比，唉，期待他们能多给点利息！,2
12,发现建设银行的新出的一款理财产品，收益天天变动，理财师的建议也稍显模糊，感觉不够稳定，投资得小心点。,2
13,我申请的华夏银行的房贷利率被调整，变成了6.5%，我真是心碎，真希望能再低一点，不然还钱的日子可不好过啊！,0
14,交通银行的信用卡积分兑换活动简直太赞了，最近刚用积分换了个高清电视，实在太超值了！希望以后能多点类似活动，真心喜欢！,1
15,我在中国银行申请的“定期存款”还不错，年利率能达到3.5%，这还是挺划算的，存了10万，预计一年能赚3500块，感觉稳定又靠谱，投资小白也能接受。,1
16,建设银行的“个人消费贷款”实在让我失望，利率高达8%，申请通过之后我才发现，每个月还款压力很大，真是后悔没有提前了解清楚条款。,0
17,我刚开通了招商银行的“智能投顾”，感觉很不错，能根据我的风险偏好推荐合适的基金，刚买了几只，感觉听专业人士的建议还是安心多了。,1
18,之前在农行办的“信用卡分期”还好，手续费就是分期利息相当于总额的6%，总体来说优惠，没有什么太大感受，平时消费分期还算平常。,2
19,我在浦发银行的“财富管理”体验不佳，真觉得服务不如预期，产品信息不透明，投资前咨询的时候感觉像是在推销，不太可信，导致我后续不太想再尝试。,0
20,之前用过招商银行的定期存款，年利率达3.5%，还算不错，但是存了一年感觉收益不明显，真心不如理财产品，整体体验一般。,1
21,我申请了工商银行的信用卡，额度很高有2万，但天天要还款压力大，这个利率也蛮高，感觉还要再考虑下。,2
22,招行的财富管理产品宣传得蛮好，最低投资额度1万，但每次想赎回都要等，过程繁琐，不太推荐。,2
23,我觉得农行的个人贷款非常好用了，申请便捷，利率只有4.5%，资金到账也快，感觉很赞！,1
24,我用的平安银行的保险理财，收益低得令人发指，才2%多点，不太符合我的预期，看起来很鸡肋。,0
25,我开通了招商银行的灵活用卡，真的觉得不错！每月还款无压力，分期手续费只有0.6%，比其他银行低多了，收益很给力！,1
26,我之前在建设银行办的定期存款，利率只有2.1%，感觉根本无法跟其他银行相比！真是非常失望，准备下次换个更高的利率了。,0
27,今天去中信银行咨询他们的理财产品，听说收益大概在4%左右，我对比了下市面行情，感觉还算可以，但就是有点复杂，得多研究下。,2
28,我用的平安银行信用卡分期付款真心不错！每个月只要还款800，多的部分利息还可以再分期，感觉方案很灵活，真心推荐给大家。,1
29,我投了一点钱在工行的基金里，结果表现极差，收益才0.5%，真觉得自己太失误了，看来还是要多看几家其他银行的产品。,0
30,华夏银行的现金理财产品收益率真的不算高，才3.5%，有点失望。,1
31,招商银行的信用卡积分兑换还不错，平时消费也能积攒，理智选择用积分换礼品觉得很划算！,1
32,工行的定期存款利率实在是太低了，才2.1%，跟上次比几乎没什么变化，感觉在赚钱上很不给力。,0
33,交通银行的房贷利率目前是4.9%，听说很多朋友办下来的，但我觉得在还款压力下也没什么明显优势呀。,2
