,text,class
0,前几个月在招商银行办了个活期理财产品，收益达到了3.5%，感觉这比存款强多了，真的是个稳稳的选择，值得推荐给大家！,1
1,去年用工行的信用卡贷款，额度还不错，借了5万元，利率也不是特别高，总体来说还算划算，但还款周期有点长，得谨慎选择。,2
2,跟朋友一起去农行买了个定期存款，期限三年，年利率4%，我觉得收益不错，不过后面的流动性就不太灵活了，要提前取息也得接受损失。,3
3,中信银行的ETC服务挺方便的，办理速度快，免去了排队的麻烦，虽然没有什么特别的优惠活动，但日常使用还是蛮顺手的。,4
4,在建设银行申请的车险，不知道是不是我的车型特别，报价的价格比想象中高了不少，而且客服的反应也慢，让我感觉有点不满意。,5
5,建行的财富管理产品真不错，最近开了一款“建行天天赚”，年化收益率有4.5%，而且流动性也很好，几乎随存随取，超满意！,1
6,工行的定期存款利率实在太低了，居然才1.75%，跟其他银行的相比简直是经济危机的水平，真不值！我都不想再用了…,0
7,交行的信用卡额度还不错，给了我2万的额度，不过消费积分兑换的东西实在是太贵了，有点不太划算。,2
8,农行的借记卡使用体验还挺好的，最近通过APP办理了个电子版 Visa，国际支付很方便，用起来也省心，非常开心这个选择！,1
9,华夏银行的基金产品乱七八糟的，净值波动太大，让我损失了不少，真是后悔之前没多做功课，信心完全崩溃了。,0
10,最近开了中国银行的定期存款，利率还算不错，3.5%的年利率，感觉钱放在那边也能稍微涨点，不容易贬值，还是值得的！,1
11,农行的余额宝真的挺方便的，随时可以提现，昨天刚转了5000块，收益还是有点的，每天赚个几毛钱，慢慢积累也不错！,1
12,中信银行的信用卡真心不推荐，我申请了半年多了，结果就是没给我通过，客服态度也不怎样，白白浪费了我的时间，真是心累！,0
13,我用建设银行的个人消费贷款，申请简单，也没有太多要求，利率大概是5.6%左右，虽然也不是特别划算，但是能解决燃眉之急，凑合吧。,2
14,兴业银行的基金投资服务让我很满意，去年投的某只基金，收益率竟然达到了20%，这波操作简直是赚翻了，值得继续关注！,1
15,"1 我最近在招商银行申请了他们的""招商银行星享卡""，额度很不错，给了我1.5万，平时刷卡消费返现也有2%，真的觉得很划算，最近吃饭购物都用这张卡，满意极了！",1
16,"0 我在中信银行开了一个""中信理财宝""的理财产品，利率真心不高，只有3.5%，而且门槛也挺高，投资起点要5万，这对我来说压力有点大，感觉性价比不高。",2
17,"2 最近在农业银行办了一张""农行普卡""，也就是普通的信用卡，额度不算高，只有8000，倒是分期手续费比较低，感觉适合偶尔用用，没什么特别的期待。",3
18,"1 平安银行的""优选定存""产品我觉得不错，存一年的利率竟然能到4.2%，而且随时可以支取，灵活性很高，对于我这种手头不太宽裕的人，真的是个很好的选择！",4
19,"0 我在工商银行买了个""安享宝""的保险理财产品，收益率感觉太低，只有1.8%，而且保费还挺贵，真的是让我觉得得不偿失，买完之后有点后悔。",5
20,我最近开了招商银行的智能存款，利率居然能达到4.5%，感觉比其他银行的高多了，真心推荐给大家！,1
21,之前用兴业银行的信用卡，恶意收取滞纳金，联系客服也不解决，真是心累，不知道他们在干啥！,0
22,平安银行的短期理财产品太赞了！买的是个7天期的，收益率竟然有6%，几天就到账，根本不拖泥带水，值得一试！,1
23,不知道大家觉得工行的定活互利怎么样，我觉得还挺灵活的，就是利率表现一般般，2.75%还行吧，没什么特别的感觉。,2
24,我用光大的基金产品，结果买了个亏损的，客服说要等市场回暖，真是一点保障都没有，心里特别失望！,0
25,交通银行的存款大礼包真不错，我之前存了5万，年利率达到了3.75%，拿到手的利息还挺满意的，值得一试！,1
26,养老金理财产品真的让我失望，招商银行的那款产品我投了些钱，竟然半年后只给我0.5%的收益，真是太亏了！,0
27,我最近看了下兴业银行的信用卡各种活动，感觉还可以，就是不知道实际用起来效果如何，谁能给点建议？,2
28,建行的京东联名卡用起来觉得蛮好，大额免年费，而且每次消费都能返现金，真心赞一下！,1
29,农行的基金理财服务实在让我寒心，前段时间买的基金一直在亏，联系客服也没啥实质帮助，果然还是要慎重看好市场！,0
30,都说招商银行的“如意存”利率不错，最近选择的年利率竟然有3.5%！不过期间不能取出来，这让我觉得有点不划算，心情有点复杂。,1
31,我在建设银行申请了房贷，利率比预期的低了0.2个点，省了不少利息，感觉非常划算，简直要给他们点个赞！,2
32,在农行的“定期存款”产品上存了50万，年利率还是2.25%，看着收益逐渐增加，心里有点安慰，但就是觉得这个利率还有提升的空间，哎。,3
33,兴业银行的“灵活存款”挺不错的，随时可以取出，利率也不低，适合我这种喜欢灵活操作的人，虽然收益相比定存稍微差了些，但至少心里踏实。,4
34,我已经开通了中信银行的信用卡，积分兑换的活动每月都有，但就是感觉有些兑换项目的价值不高，心理上有点失落，希望下次能有更好的活动！,5
35,我最近买了建行的“存本取息”理财产品，虽然利率只有3.5%，但流动性不错，感觉还行！,1
36,招行的信用卡真让我失望，居然一次刷卡失败就给我扣了90块的年费，太过分了！,0
37,交通银行的“幸福倍增”存款产品，貌似还可以，但就是收益不高，利率4%，总觉得没什么吸引力。,2
38,中行的“优享定存”产品不错，利率达到了4.2%，存一年也能拿到不少利息，感觉赚到了！,1
39,华夏银行的“车主贷”，真心坑，申请了好久还是没通过，客服态度也不怎么好，像是在打发我！,0
40,中国银行的粤港澳大湾区专属理财产品真不错，年化收益高达5.2%，我投资了一万块，一个季度就收回了130元，心里美滋滋的！,1
41,工商银行的信用卡真是让人失望，消费积分竟然过期了，就算有活动也没啥吸引力，真觉得不值！,0
42,招商银行的新手储蓄账户，利率只有1.5%，虽然比定期稍高，但感觉也没有什么特别的吸引力，就是个普通的存款吧。,2
43,农业银行的净值型基金收益不错，近三个月涨了8%，而且操作方便，手机上直接就能看收益，体验很赞！,1
44,交通银行的无卡取款服务实在不好用，非要绑定一堆资料，感觉比排队取钱还麻烦，真不想再试了！,0
45,建行的月月赢理财产品真的不错，收益率能到4.5%，我最近投资了30000元，感觉很划算！,1
46,我在农行办了个定期存款，利率有点低，仅仅只有1.75%，感觉不太划算，没什么心意。,2
47,交行的信用卡竟然收了一次年费，申请的时候没说明，查了下还要补交100元，真心不开心啊！,0
48,我瞄上了平安银行的智能投顾，最近收益有6%，还算满意，打算再投点钱进去，多一份保障。,1
